178,Blake Griffin\griffbl01,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
179,Kyle Guy\guyky01,PG,23,SAC,16,0,7.3,0.9,2.8,.318,0.4,1.5,.250,0.5,1.3,.400,.386,0.4,0.5,.875,0.2,0.7,0.9,0.9,0.3,0.0,0.2,0.6,2.6
180,Rui Hachimura\hachiru01,PF,22,WAS,33,33,30.6,4.8,10.4,.466,0.9,2.7,.326,4.0,7.7,.516,.509,2.7,3.4,.779,0.9,4.8,5.7,1.6,0.8,0.1,1.1,2.2,13.2
181,Ashton Hagans\haganas01,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
182,Tyrese Haliburton\halibty01,PG,20,SAC,35,4,29.7,4.7,10.0,.473,2.2,5.3,.418,2.5,4.8,.533,.583,0.7,0.9,.839,0.9,2.6,3.5,5.2,1.3,0.6,1.5,1.4,12.4
183,Josh Hall\halljo01,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
184,R.J. Hampton\hamptrj01,PG,19,DEN,24,0,9.2,1.0,2.4,.414,0.2,0.8,.278,0.8,1.7,.475,.457,0.3,0.4,.700,0.4,1.5,2.0,0.5,0.2,0.1,0.5,0.9,2.5
185,Tim Hardaway Jr.\hardati02,SG,28,DAL,39,19,29.8,5.8,13.1,.445,3.0,7.6,.393,2.8,5.4,.519,.560,1.9,2.4,.793,0.3,2.9,3.3,1.7,0.6,0.2,0.9,1.5,16.5
186,James Harden\hardeja01,PG-SG,31,TOT,36,36,37.9,8.0,16.9,.471,2.9,8.0,.368,5.0,8.9,.564,.558,6.4,7.4,.868,0.9,7.2,8.1,11.2,1.2,0.8,4.3,2.3,25.3
186,James Harden\hardeja01,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
186,James Harden\hardeja01,PG,31,BRK,28,28,38.4,8.1,16.9,.479,2.9,7.7,.375,5.2,9.2,.566,.564,6.3,7.3,.863,0.9,8.0,8.9,11.4,1.3,0.8,4.3,2.5,25.4
187,Maurice Harkless\harklma01,SF,27,MIA,11,3,11.3,0.5,1.2,.385,0.5,1.0,.455,0.0,0.2,.000,.577,0.0,0.2,.000,0.2,1.0,1.2,0.6,0.2,0.4,0.3,1.3,1.4
188,Jared Harper\harpeja01,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
